,Tweet Text,الشواذ,المثليين
863,@TrendEPL الشواذ وليس المثليين,0.5064027720852416,0.2235963309854741
857,@qtr_1973 الشواذ وليس المثليين او المخنثين,0.32945744338694244,0.14546815226512017
477,@alhurranews الشذوذ الجنسي رذيلة ايضا.,0.3120773141112138,0.0
924,الشذوذ الجنسي وافكار الشياطين https://t.co/2f4u81hixD,0.30968400480832675,0.0
489,@TheUKAr الشذوذ الجنسي محرم في الاسلام وكل الدعم لقطر ، الشذوذ الجنسي افاة المجتمع وشي مقزز ومقرف!,0.3052616235025595,0.0
991,@Nursgh @izi43_ @vnodels الشذوذ الجنسي والفواحش صار مزح ؟,0.2981887529028404,0.0
187,@RTarabic تشجع العصابات الماسونية والصهيونية إنتشار الشذوذ الجنسي وتستقطب الشواذ لتمرير مؤامراتها على الإنسان الصحيح الذي تعتبره خطرا على وجودها ولهذا فإنها تجيش الشواذ لإضعاف الأخلاق الإجتماعية ومسخ الكرامة الإنسانية ليسهل عليها الإبتزاز والسيطرة وقد ورد كل هذا في البروتوكولات الصهيونية.,0.27520266935334015,0.0
646,@Al_Houthy هذا من المثليين الشواذ هذا مايستحق تنشره على صفحتك,0.2613915402191218,0.11541443405408432
775,بيليرين عضو المثليين الشواذ في #برشلونة نكب برشلونة مرتين بكشف التسلل واستغلها البايرن وسجل هدفين هذه أخرت اللي يعتمد على الشواذ #برشلونة_بايرن_ميونخ,0.22958590642797272,0.050685510776220674
513,@OfficalOsman الشذوذ الجنسي بتاع احفاد حاج نور كيف ؟؟!,0.22520178969660387,0.0
729,@azizbnkhdm @t_donkeys نتفيلكس +علم الشواذ المثليين = حمااااااااار كبير ملون https://t.co/nbGb5vdz2p,0.2176804695307322,0.09611431255371182
659,@rzc_o8 قائد الشذوذ الجنسي في العالم سيحل بك غضب الله عاجلا مع الأسف أمريكا خالفت الفطرة اصبحت امة شذوذ بعد ان كانت صاحبة المبادي والقيم وهذا حصل بسبب الحرية الكاذبه وتولي اشباه الرجال امورها.,0.21144286938121112,0.0
131,@llserol @LGBTQarabic الله لايبلانا مما ابتلاهم ي رب يبونا ننسخط الشواذ,0.20787045386176417,0.0
986,@hamdanqtr55500 ذهاب بلا عوده للبريطاني المدافع عن الشذوذ الجنسي..,0.204688096973836,0.0
